Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
TCP,TCP,1,192.168.1.1,49494,80,66,7.047773759730256,1
TCP,TCP,1,192.168.1.1,49500,80,66,7.029110970121298,1
TCP,TCP,1,192.168.1.1,49381,80,62,7.03621108221233,1
TCP,TCP,1,192.168.1.1,49495,80,66,7.017658390210779,1
TCP,TCP,1,192.168.1.1,49501,80,66,7.023957409116418,1
TCP,TCP,1,192.168.1.1,49302,80,66,7.031030880827513,1
TCP,TCP,1,192.168.1.1,49382,80,62,7.038104352538607,1
TCP,TCP,1,192.168.1.1,49496,80,66,7.018842388763944,1
TCP,TCP,1,192.168.1.1,49502,80,66,7.025889419274751,1
TCP,TCP,1,192.168.1.1,49303,80,66,7.032163309015209,1
TCP,TCP,1,192.168.1.1,49383,80,62,7.039209564835866,1
BOOTP,UDP,1,255.255.255.255,68,67,331,7.046255820656522,1
TCP,TCP,1,192.168.1.1,49497,80,66,7.027037327444886,1
TCP,TCP,1,192.168.1.1,49503,80,66,7.034057344755021,1
TCP,TCP,1,192.168.1.1,49304,80,66,7.040306293118914,1
TCP,TCP,1,192.168.1.1,49384,80,62,7.047325541666391,1
TCP,TCP,1,192.168.1.1,49498,80,66,7.054344790213867,1
TCP,TCP,1,192.168.1.1,49504,80,66,7.035937338719535,1
TCP,TCP,1,192.168.1.1,49305,80,66,7.042931312217267,1
TCP,TCP,1,192.168.1.1,49385,80,62,7.049925285715001,1
TCP,TCP,1,192.168.1.1,49499,80,66,7.056919259212734,1
TCP,TCP,1,192.168.1.1,49505,80,66,7.037803423238488,1
TCP,TCP,1,192.168.1.1,49306,80,66,7.044771545439714,1
TCP,TCP,1,192.168.1.1,49386,80,62,7.05173966764094,1
TCP,TCP,1,192.168.1.1,49500,80,66,7.058707789842167,1
TCP,TCP,1,192.168.1.1,49506,80,66,7.039655775276163,1
TCP,TCP,1,192.168.1.1,49387,80,62,7.046598236593003,1
